reference,designation,famille,depot,stock_actuel,stock_mini,delai_reappro_jours,valeur_unitaire,rotation_mensuelle,statut
REF-1286,Peinture modèle 29,Peinture,Entrepôt Sud,62,84,4,17994,51,Sous le seuil
REF-1287,Ciment modèle 25,Ciment,Dépôt Bouaké,209,44,22,5600,24,Normal
REF-1288,Fer à béton modèle 37,Fer à béton,Entrepôt Sud,235,23,18,18686,14,Normal
REF-1289,Ciment modèle 5,Ciment,Entrepôt Nord,302,75,16,16706,83,Normal
REF-1290,Peinture modèle 11,Peinture,Entrepôt Sud,3,94,7,12220,88,Sous le seuil
REF-1291,Fer à béton modèle 38,Fer à béton,Entrepôt Nord,266,34,8,13466,20,Normal
REF-1292,Carrelage modèle 5,Carrelage,Dépôt Bouaké,286,51,10,18637,113,Normal
REF-1293,Peinture modèle 1,Peinture,Entrepôt Nord,88,91,11,13851,13,Sous le seuil
REF-1294,Électricité modèle 17,Électricité,Dépôt Bouaké,41,31,7,18919,37,À surveiller
REF-1295,Fer à béton modèle 10,Fer à béton,Dépôt Bouaké,136,79,12,19754,77,À surveiller
REF-1296,Peinture modèle 24,Peinture,Dépôt Bouaké,106,99,25,20266,18,À surveiller
REF-1297,Ciment modèle 18,Ciment,Dépôt Bouaké,219,46,6,20439,97,Normal
REF-1298,Électricité modèle 5,Électricité,Dépôt Bouaké,343,37,26,15325,48,Normal
REF-1299,Ciment modèle 35,Ciment,Dépôt Bouaké,165,76,13,11496,78,Normal
REF-1300,Carrelage modèle 37,Carrelage,Dépôt Bouaké,372,74,23,3459,109,Normal
REF-1301,Ciment modèle 18,Ciment,Entrepôt Nord,321,77,17,19965,81,Normal
REF-1302,Ciment modèle 29,Ciment,Dépôt Bouaké,230,44,5,11108,72,Normal
REF-1303,Peinture modèle 34,Peinture,Entrepôt Sud,11,97,23,7962,38,Sous le seuil
REF-1304,Ciment modèle 32,Ciment,Dépôt Bouaké,162,29,11,20713,75,Normal
REF-1305,Ciment modèle 20,Ciment,Entrepôt Sud,31,76,12,17613,71,Sous le seuil
REF-1306,Peinture modèle 15,Peinture,Dépôt Bouaké,58,96,18,19750,57,Sous le seuil
REF-1307,Électricité modèle 8,Électricité,Entrepôt Sud,318,60,15,12943,109,Normal
REF-1308,Carrelage modèle 23,Carrelage,Entrepôt Nord,19,56,5,20217,16,Sous le seuil
REF-1309,Électricité modèle 9,Électricité,Dépôt Bouaké,210,43,5,11028,90,Normal
REF-1310,Peinture modèle 3,Peinture,Dépôt Bouaké,268,38,15,3359,77,Normal
REF-1311,Électricité modèle 22,Électricité,Entrepôt Nord,394,37,6,19747,82,Normal
REF-1312,Fer à béton modèle 5,Fer à béton,Entrepôt Nord,143,98,7,12607,94,À surveiller
REF-1313,Ciment modèle 21,Ciment,Dépôt Bouaké,200,45,10,18143,99,Normal
REF-1314,Peinture modèle 9,Peinture,Entrepôt Sud,382,31,8,15881,106,Normal
REF-1315,Ciment modèle 6,Ciment,Entrepôt Nord,117,35,5,8961,51,Normal
REF-1316,Fer à béton modèle 33,Fer à béton,Entrepôt Nord,273,47,26,8879,69,Normal
REF-1317,Ciment modèle 10,Ciment,Dépôt Bouaké,5,65,12,4552,54,Sous le seuil
REF-1318,Peinture modèle 29,Peinture,Entrepôt Sud,105,40,15,19371,44,Normal
REF-1319,Plomberie modèle 8,Plomberie,Entrepôt Sud,330,27,16,11387,42,Normal
REF-1320,Carrelage modèle 16,Carrelage,Entrepôt Nord,222,60,26,11218,48,Normal
REF-1321,Carrelage modèle 32,Carrelage,Entrepôt Sud,329,99,14,7169,40,Normal
REF-1322,Électricité modèle 12,Électricité,Entrepôt Sud,100,94,14,16571,118,À surveiller
REF-1323,Peinture modèle 37,Peinture,Entrepôt Nord,354,23,2,19067,63,Normal
REF-1324,Fer à béton modèle 36,Fer à béton,Entrepôt Nord,315,24,21,4342,89,Normal
REF-1325,Plomberie modèle 26,Plomberie,Dépôt Bouaké,120,75,20,9079,31,À surveiller
REF-1326,Électricité modèle 9,Électricité,Entrepôt Nord,349,42,15,17911,23,Normal
REF-1327,Ciment modèle 4,Ciment,Dépôt Bouaké,36,84,20,19960,83,Sous le seuil
REF-1328,Carrelage modèle 21,Carrelage,Dépôt Bouaké,365,97,18,14480,46,Normal
REF-1329,Fer à béton modèle 18,Fer à béton,Entrepôt Sud,224,78,8,12516,43,Normal
REF-1330,Peinture modèle 12,Peinture,Entrepôt Sud,223,85,26,18567,105,Normal
REF-1331,Peinture modèle 8,Peinture,Entrepôt Nord,62,57,18,18630,93,À surveiller
REF-1332,Ciment modèle 5,Ciment,Entrepôt Nord,246,89,11,7241,96,Normal
REF-1333,Carrelage modèle 4,Carrelage,Dépôt Bouaké,289,84,20,14942,69,Normal
REF-1334,Fer à béton modèle 10,Fer à béton,Dépôt Bouaké,294,58,29,16348,44,Normal
REF-1335,Plomberie modèle 5,Plomberie,Dépôt Bouaké,64,78,18,14774,7,Sous le seuil
REF-1336,Carrelage modèle 40,Carrelage,Dépôt Bouaké,346,33,29,9873,105,Normal
REF-1337,Plomberie modèle 1,Plomberie,Entrepôt Nord,52,74,8,7723,19,Sous le seuil
REF-1338,Carrelage modèle 23,Carrelage,Dépôt Bouaké,11,54,11,11244,109,Sous le seuil
REF-1339,Fer à béton modèle 33,Fer à béton,Dépôt Bouaké,292,30,21,12913,60,Normal
REF-1340,Plomberie modèle 20,Plomberie,Entrepôt Sud,232,34,11,20801,118,Normal
REF-1341,Carrelage modèle 2,Carrelage,Entrepôt Nord,15,63,22,4697,93,Sous le seuil
REF-1342,Fer à béton modèle 35,Fer à béton,Dépôt Bouaké,127,32,4,20424,65,Normal
REF-1343,Fer à béton modèle 37,Fer à béton,Entrepôt Nord,300,63,6,8644,31,Normal
REF-1344,Ciment modèle 6,Ciment,Entrepôt Sud,123,26,11,11076,43,Normal
REF-1345,Carrelage modèle 27,Carrelage,Dépôt Bouaké,67,87,12,19554,79,Sous le seuil
REF-1346,Plomberie modèle 37,Plomberie,Entrepôt Sud,143,35,15,16217,24,Normal
REF-1347,Peinture modèle 13,Peinture,Entrepôt Nord,157,22,10,13499,78,Normal
REF-1348,Plomberie modèle 5,Plomberie,Entrepôt Sud,0,68,10,19900,53,Sous le seuil
REF-1349,Fer à béton modèle 4,Fer à béton,Entrepôt Nord,245,21,3,10320,11,Normal
REF-1350,Peinture modèle 15,Peinture,Entrepôt Nord,283,29,4,7556,51,Normal
REF-1351,Ciment modèle 20,Ciment,Dépôt Bouaké,48,31,11,10455,57,À surveiller
REF-1352,Ciment modèle 26,Ciment,Entrepôt Sud,150,27,8,11351,74,Normal
REF-1353,Ciment modèle 26,Ciment,Dépôt Bouaké,367,38,9,16537,31,Normal
REF-1354,Ciment modèle 4,Ciment,Dépôt Bouaké,87,99,10,7006,37,Sous le seuil
REF-1355,Ciment modèle 9,Ciment,Entrepôt Sud,93,55,22,14846,114,À surveiller
REF-1356,Plomberie modèle 10,Plomberie,Dépôt Bouaké,343,80,15,4676,52,Normal
REF-1357,Fer à béton modèle 27,Fer à béton,Entrepôt Sud,250,27,11,11384,21,Normal
REF-1358,Fer à béton modèle 20,Fer à béton,Entrepôt Nord,3,42,13,5955,102,Sous le seuil
REF-1359,Carrelage modèle 3,Carrelage,Entrepôt Sud,326,72,13,18212,5,Normal
REF-1360,Peinture modèle 38,Peinture,Dépôt Bouaké,351,70,20,13139,71,Normal
REF-1361,Fer à béton modèle 2,Fer à béton,Entrepôt Nord,113,36,27,12812,88,Normal
REF-1362,Plomberie modèle 21,Plomberie,Entrepôt Nord,141,32,8,10592,108,Normal
REF-1363,Peinture modèle 36,Peinture,Entrepôt Nord,12,30,27,9765,29,Sous le seuil
REF-1364,Peinture modèle 34,Peinture,Entrepôt Sud,164,90,24,15063,63,À surveiller
REF-1365,Carrelage modèle 38,Carrelage,Entrepôt Sud,8,29,28,5688,77,Sous le seuil
REF-1366,Carrelage modèle 26,Carrelage,Entrepôt Sud,57,55,15,6494,7,À surveiller
REF-1367,Électricité modèle 34,Électricité,Entrepôt Nord,382,97,25,3194,12,Normal
REF-1368,Fer à béton modèle 18,Fer à béton,Dépôt Bouaké,236,47,20,18384,97,Normal
REF-1369,Électricité modèle 34,Électricité,Entrepôt Sud,65,95,21,6275,6,Sous le seuil
REF-1370,Plomberie modèle 27,Plomberie,Entrepôt Nord,28,74,15,16484,41,Sous le seuil
REF-1371,Électricité modèle 25,Électricité,Entrepôt Sud,360,27,2,17785,44,Normal
REF-1372,Fer à béton modèle 28,Fer à béton,Dépôt Bouaké,203,82,21,11902,96,Normal
REF-1373,Plomberie modèle 28,Plomberie,Entrepôt Nord,95,46,2,11863,101,Normal
REF-1374,Ciment modèle 3,Ciment,Entrepôt Sud,109,44,7,12042,32,Normal
REF-1375,Fer à béton modèle 28,Fer à béton,Dépôt Bouaké,24,50,6,7900,62,Sous le seuil
REF-1376,Ciment modèle 37,Ciment,Entrepôt Sud,93,64,13,12595,93,À surveiller
REF-1377,Électricité modèle 38,Électricité,Entrepôt Nord,179,65,29,4719,103,Normal
REF-1378,Fer à béton modèle 8,Fer à béton,Entrepôt Sud,289,49,18,11429,18,Normal
REF-1379,Ciment modèle 20,Ciment,Entrepôt Sud,81,46,5,6981,85,À surveiller
REF-1380,Peinture modèle 16,Peinture,Entrepôt Nord,69,32,14,20599,6,Normal
REF-1381,Plomberie modèle 15,Plomberie,Entrepôt Nord,45,45,18,4359,36,À surveiller
REF-1382,Plomberie modèle 30,Plomberie,Entrepôt Nord,237,91,9,7690,61,Normal
REF-1383,Plomberie modèle 14,Plomberie,Entrepôt Nord,146,80,2,6447,65,À surveiller
REF-1384,Peinture modèle 16,Peinture,Entrepôt Sud,317,30,26,3294,3,Normal
REF-1385,Plomberie modèle 34,Plomberie,Entrepôt Sud,257,83,4,6539,119,Normal
REF-1386,Peinture modèle 6,Peinture,Entrepôt Nord,106,71,19,18592,76,À surveiller
REF-1387,Peinture modèle 16,Peinture,Entrepôt Nord,327,96,16,3188,8,Normal
REF-1388,Peinture modèle 18,Peinture,Entrepôt Sud,191,30,21,18622,81,Normal
REF-1389,Ciment modèle 12,Ciment,Entrepôt Nord,53,74,21,7606,35,Sous le seuil
REF-1390,Plomberie modèle 11,Plomberie,Dépôt Bouaké,337,31,17,9902,25,Normal
REF-1391,Ciment modèle 10,Ciment,Entrepôt Nord,153,86,18,14858,94,À surveiller
REF-1392,Plomberie modèle 2,Plomberie,Entrepôt Sud,146,22,12,8463,28,Normal
REF-1393,Peinture modèle 29,Peinture,Entrepôt Sud,107,41,27,4552,37,Normal
REF-1394,Fer à béton modèle 10,Fer à béton,Entrepôt Sud,166,67,13,5275,54,Normal
REF-1395,Fer à béton modèle 17,Fer à béton,Entrepôt Sud,330,97,26,13991,86,Normal
REF-1396,Fer à béton modèle 31,Fer à béton,Entrepôt Sud,326,66,25,16407,63,Normal
REF-1397,Ciment modèle 36,Ciment,Entrepôt Sud,215,70,23,3949,97,Normal
REF-1398,Électricité modèle 26,Électricité,Dépôt Bouaké,394,32,14,5480,63,Normal
REF-1399,Carrelage modèle 20,Carrelage,Dépôt Bouaké,175,44,5,19246,112,Normal
REF-1400,Ciment modèle 39,Ciment,Entrepôt Sud,245,22,5,10425,70,Normal
REF-1401,Ciment modèle 9,Ciment,Dépôt Bouaké,345,63,28,6891,95,Normal
REF-1402,Électricité modèle 27,Électricité,Entrepôt Sud,303,78,14,10579,33,Normal
REF-1403,Peinture modèle 18,Peinture,Entrepôt Nord,167,38,10,14153,7,Normal
REF-1404,Carrelage modèle 18,Carrelage,Dépôt Bouaké,168,24,4,12962,20,Normal
REF-1405,Fer à béton modèle 1,Fer à béton,Dépôt Bouaké,278,40,11,8310,109,Normal
REF-1406,Électricité modèle 25,Électricité,Entrepôt Sud,150,24,3,16718,112,Normal
REF-1407,Ciment modèle 36,Ciment,Dépôt Bouaké,185,54,15,3595,56,Normal
REF-1408,Carrelage modèle 1,Carrelage,Entrepôt Sud,311,85,16,10908,94,Normal
REF-1409,Fer à béton modèle 36,Fer à béton,Dépôt Bouaké,273,48,8,12566,9,Normal
REF-1410,Peinture modèle 37,Peinture,Dépôt Bouaké,221,73,6,12603,16,Normal
REF-1411,Ciment modèle 33,Ciment,Entrepôt Sud,61,64,11,20366,116,Sous le seuil
REF-1412,Ciment modèle 14,Ciment,Entrepôt Nord,388,57,27,14162,32,Normal
REF-1413,Ciment modèle 32,Ciment,Entrepôt Sud,330,99,14,12435,103,Normal
REF-1414,Fer à béton modèle 12,Fer à béton,Entrepôt Nord,368,52,29,10924,87,Normal
REF-1415,Électricité modèle 10,Électricité,Entrepôt Nord,366,81,23,8094,102,Normal
REF-1416,Peinture modèle 35,Peinture,Entrepôt Nord,320,67,17,3424,25,Normal
REF-1417,Ciment modèle 19,Ciment,Dépôt Bouaké,250,82,11,11788,117,Normal
REF-1418,Fer à béton modèle 16,Fer à béton,Entrepôt Nord,41,40,8,12559,8,À surveiller
REF-1419,Peinture modèle 38,Peinture,Entrepôt Sud,32,96,15,12232,101,Sous le seuil
REF-1420,Électricité modèle 6,Électricité,Entrepôt Nord,374,62,16,8582,62,Normal
REF-1421,Carrelage modèle 20,Carrelage,Dépôt Bouaké,164,45,16,6071,38,Normal
REF-1422,Fer à béton modèle 37,Fer à béton,Entrepôt Nord,216,37,5,7315,3,Normal
REF-1423,Plomberie modèle 4,Plomberie,Entrepôt Sud,6,21,29,10058,66,Sous le seuil
REF-1424,Peinture modèle 15,Peinture,Entrepôt Nord,356,53,24,14188,117,Normal
REF-1425,Peinture modèle 21,Peinture,Entrepôt Nord,115,78,22,9344,24,À surveiller
REF-1426,Électricité modèle 11,Électricité,Dépôt Bouaké,67,66,18,4424,77,À surveiller
REF-1427,Ciment modèle 25,Ciment,Entrepôt Nord,145,58,6,17885,91,Normal
REF-1428,Électricité modèle 28,Électricité,Entrepôt Nord,230,34,6,11218,25,Normal
REF-1429,Peinture modèle 23,Peinture,Entrepôt Sud,363,35,8,10862,43,Normal
REF-1430,Ciment modèle 3,Ciment,Entrepôt Nord,52,26,21,19159,97,Normal
REF-1431,Carrelage modèle 28,Carrelage,Dépôt Bouaké,239,48,21,18397,78,Normal
REF-1432,Fer à béton modèle 1,Fer à béton,Dépôt Bouaké,1,59,16,18979,63,Sous le seuil
REF-1433,Carrelage modèle 38,Carrelage,Dépôt Bouaké,80,73,10,13460,23,À surveiller
REF-1434,Peinture modèle 7,Peinture,Entrepôt Sud,314,43,19,10477,63,Normal
REF-1435,Ciment modèle 16,Ciment,Entrepôt Nord,327,24,23,4151,95,Normal
REF-1436,Plomberie modèle 28,Plomberie,Entrepôt Sud,82,80,10,21000,107,À surveiller
REF-1437,Carrelage modèle 8,Carrelage,Entrepôt Sud,219,82,17,3235,43,Normal
REF-1438,Plomberie modèle 11,Plomberie,Entrepôt Nord,377,43,26,13303,106,Normal
REF-1439,Électricité modèle 13,Électricité,Dépôt Bouaké,390,38,20,16876,11,Normal
REF-1440,Électricité modèle 14,Électricité,Entrepôt Sud,187,54,6,13413,25,Normal
REF-1441,Carrelage modèle 9,Carrelage,Entrepôt Nord,366,74,8,17795,116,Normal
REF-1442,Fer à béton modèle 34,Fer à béton,Entrepôt Nord,323,52,14,8916,21,Normal
REF-1443,Électricité modèle 35,Électricité,Entrepôt Nord,366,34,20,14452,58,Normal
REF-1444,Plomberie modèle 17,Plomberie,Dépôt Bouaké,272,47,11,9412,96,Normal
REF-1445,Peinture modèle 31,Peinture,Dépôt Bouaké,140,21,18,14674,27,Normal
REF-1446,Peinture modèle 18,Peinture,Dépôt Bouaké,49,69,14,5613,93,Sous le seuil
REF-1447,Ciment modèle 18,Ciment,Dépôt Bouaké,303,88,27,17822,7,Normal
REF-1448,Fer à béton modèle 27,Fer à béton,Entrepôt Sud,175,48,22,9592,43,Normal
REF-1449,Électricité modèle 39,Électricité,Entrepôt Sud,84,22,16,16916,47,Normal
REF-1450,Plomberie modèle 16,Plomberie,Entrepôt Nord,153,75,18,5538,106,Normal
REF-1451,Peinture modèle 21,Peinture,Entrepôt Sud,40,45,20,19180,86,Sous le seuil
REF-1452,Peinture modèle 38,Peinture,Entrepôt Sud,250,56,16,10624,1,Normal
REF-1453,Carrelage modèle 18,Carrelage,Dépôt Bouaké,167,71,17,5734,21,Normal
REF-1454,Peinture modèle 11,Peinture,Dépôt Bouaké,304,36,20,11815,28,Normal
REF-1455,Plomberie modèle 22,Plomberie,Entrepôt Nord,174,57,16,10026,99,Normal
REF-1456,Carrelage modèle 10,Carrelage,Dépôt Bouaké,314,23,21,14582,66,Normal
REF-1457,Carrelage modèle 23,Carrelage,Entrepôt Nord,94,96,2,19819,86,Sous le seuil
REF-1458,Carrelage modèle 27,Carrelage,Entrepôt Sud,175,41,12,12571,55,Normal
REF-1459,Peinture modèle 30,Peinture,Dépôt Bouaké,203,56,29,20736,112,Normal
REF-1460,Carrelage modèle 26,Carrelage,Entrepôt Sud,158,97,3,20400,65,À surveiller
REF-1461,Ciment modèle 8,Ciment,Dépôt Bouaké,132,66,5,17792,74,Normal
REF-1462,Plomberie modèle 39,Plomberie,Entrepôt Sud,124,95,12,10791,70,À surveiller
REF-1463,Plomberie modèle 32,Plomberie,Entrepôt Sud,325,68,29,13113,19,Normal
REF-1464,Fer à béton modèle 40,Fer à béton,Entrepôt Nord,287,77,19,11041,26,Normal
REF-1465,Ciment modèle 40,Ciment,Entrepôt Sud,289,86,2,19227,114,Normal
REF-1466,Électricité modèle 2,Électricité,Entrepôt Nord,286,48,3,18767,20,Normal
REF-1467,Carrelage modèle 39,Carrelage,Entrepôt Nord,179,80,16,8802,119,Normal
REF-1468,Peinture modèle 28,Peinture,Dépôt Bouaké,69,31,28,13023,70,Normal
REF-1469,Fer à béton modèle 26,Fer à béton,Dépôt Bouaké,167,82,3,10798,69,Normal
REF-1470,Fer à béton modèle 12,Fer à béton,Entrepôt Sud,372,38,5,16451,25,Normal
REF-1471,Carrelage modèle 10,Carrelage,Entrepôt Nord,366,66,21,15373,29,Normal
REF-1472,Fer à béton modèle 1,Fer à béton,Entrepôt Sud,107,75,28,17042,27,À surveiller
REF-1473,Plomberie modèle 12,Plomberie,Entrepôt Sud,266,46,25,11820,89,Normal
REF-1474,Carrelage modèle 1,Carrelage,Dépôt Bouaké,216,98,22,12497,3,Normal
REF-1475,Peinture modèle 32,Peinture,Entrepôt Nord,21,88,4,16372,48,Sous le seuil
REF-1476,Carrelage modèle 26,Carrelage,Dépôt Bouaké,315,83,13,3325,89,Normal
REF-1477,Ciment modèle 20,Ciment,Dépôt Bouaké,77,73,18,11821,21,À surveiller
REF-1478,Électricité modèle 14,Électricité,Dépôt Bouaké,335,98,15,11051,21,Normal
REF-1479,Plomberie modèle 33,Plomberie,Dépôt Bouaké,299,52,8,19959,85,Normal
REF-1480,Carrelage modèle 18,Carrelage,Entrepôt Nord,288,46,8,18739,62,Normal
REF-1481,Carrelage modèle 31,Carrelage,Entrepôt Nord,236,33,24,17174,33,Normal
REF-1482,Peinture modèle 11,Peinture,Dépôt Bouaké,139,80,10,17594,119,À surveiller
REF-1483,Fer à béton modèle 36,Fer à béton,Dépôt Bouaké,67,33,24,7465,31,Normal
REF-1484,Ciment modèle 3,Ciment,Entrepôt Nord,145,58,18,11372,113,Normal
REF-1485,Plomberie modèle 1,Plomberie,Entrepôt Nord,106,97,20,20730,59,À surveiller
REF-1486,Électricité modèle 35,Électricité,Dépôt Bouaké,29,47,11,20259,106,Sous le seuil
REF-1487,Électricité modèle 27,Électricité,Dépôt Bouaké,138,61,15,6703,26,Normal
REF-1488,Plomberie modèle 12,Plomberie,Entrepôt Sud,343,93,19,3401,79,Normal
REF-1489,Fer à béton modèle 9,Fer à béton,Dépôt Bouaké,246,85,7,5036,44,Normal
REF-1490,Fer à béton modèle 13,Fer à béton,Dépôt Bouaké,88,45,17,15907,118,À surveiller
REF-1491,Fer à béton modèle 25,Fer à béton,Entrepôt Nord,317,66,19,8436,55,Normal
REF-1492,Fer à béton modèle 31,Fer à béton,Entrepôt Sud,288,32,25,20177,34,Normal
REF-1493,Ciment modèle 25,Ciment,Dépôt Bouaké,345,99,15,16294,30,Normal
REF-1494,Carrelage modèle 38,Carrelage,Entrepôt Nord,365,61,26,18267,72,Normal
REF-1495,Peinture modèle 35,Peinture,Dépôt Bouaké,116,35,29,9718,118,Normal
REF-1496,Plomberie modèle 13,Plomberie,Entrepôt Nord,159,23,17,10010,7,Normal
REF-1497,Plomberie modèle 32,Plomberie,Dépôt Bouaké,367,74,15,18630,111,Normal
REF-1498,Fer à béton modèle 23,Fer à béton,Entrepôt Nord,359,46,21,8635,79,Normal
REF-1499,Plomberie modèle 9,Plomberie,Dépôt Bouaké,310,76,8,6980,27,Normal
REF-1500,Carrelage modèle 13,Carrelage,Entrepôt Sud,368,67,15,6381,11,Normal
REF-1501,Fer à béton modèle 40,Fer à béton,Dépôt Bouaké,35,23,24,8877,40,À surveiller
REF-1502,Carrelage modèle 18,Carrelage,Entrepôt Sud,262,52,10,11486,7,Normal
REF-1503,Carrelage modèle 21,Carrelage,Dépôt Bouaké,347,36,21,20025,108,Normal
REF-1504,Ciment modèle 33,Ciment,Dépôt Bouaké,107,90,22,3052,47,À surveiller
REF-1505,Carrelage modèle 3,Carrelage,Entrepôt Nord,87,29,16,3609,114,Normal
REF-1506,Plomberie modèle 2,Plomberie,Dépôt Bouaké,240,57,22,4436,33,Normal
REF-1507,Carrelage modèle 9,Carrelage,Entrepôt Sud,70,58,29,11675,45,À surveiller
REF-1508,Fer à béton modèle 40,Fer à béton,Entrepôt Sud,76,45,2,3213,119,À surveiller
REF-1509,Plomberie modèle 16,Plomberie,Entrepôt Nord,238,53,15,8743,9,Normal
REF-1510,Plomberie modèle 15,Plomberie,Entrepôt Nord,17,67,7,3740,91,Sous le seuil
REF-1511,Ciment modèle 23,Ciment,Entrepôt Sud,113,80,4,19649,92,À surveiller
REF-1512,Électricité modèle 17,Électricité,Dépôt Bouaké,91,41,9,3080,72,Normal
REF-1513,Fer à béton modèle 2,Fer à béton,Dépôt Bouaké,331,36,21,13222,104,Normal
REF-1514,Peinture modèle 16,Peinture,Entrepôt Sud,363,24,22,3162,45,Normal
REF-1515,Électricité modèle 38,Électricité,Dépôt Bouaké,87,31,4,7822,93,Normal
REF-1516,Carrelage modèle 19,Carrelage,Entrepôt Sud,225,39,2,12662,49,Normal
REF-1517,Peinture modèle 40,Peinture,Dépôt Bouaké,360,89,29,13801,12,Normal
REF-1518,Ciment modèle 8,Ciment,Entrepôt Sud,247,61,6,6530,14,Normal
REF-1519,Carrelage modèle 40,Carrelage,Entrepôt Sud,24,90,5,14959,0,Sous le seuil
REF-1520,Peinture modèle 21,Peinture,Dépôt Bouaké,255,24,23,16526,77,Normal
REF-1521,Électricité modèle 5,Électricité,Entrepôt Sud,232,84,22,17765,55,Normal
REF-1522,Électricité modèle 18,Électricité,Dépôt Bouaké,155,34,13,19058,5,Normal
REF-1523,Peinture modèle 8,Peinture,Dépôt Bouaké,204,33,2,19121,60,Normal
REF-1524,Carrelage modèle 7,Carrelage,Entrepôt Nord,305,48,3,11604,36,Normal
REF-1525,Électricité modèle 19,Électricité,Entrepôt Sud,85,75,13,9199,17,À surveiller
REF-1526,Ciment modèle 32,Ciment,Entrepôt Sud,97,49,12,18259,73,À surveiller
REF-1527,Plomberie modèle 2,Plomberie,Dépôt Bouaké,348,75,19,11152,10,Normal
REF-1528,Peinture modèle 26,Peinture,Dépôt Bouaké,197,75,11,19000,72,Normal
REF-1529,Peinture modèle 9,Peinture,Dépôt Bouaké,305,84,22,20434,24,Normal
REF-1530,Plomberie modèle 35,Plomberie,Dépôt Bouaké,208,32,15,13550,79,Normal
REF-1531,Peinture modèle 34,Peinture,Entrepôt Sud,121,27,12,14281,104,Normal
REF-1532,Fer à béton modèle 40,Fer à béton,Dépôt Bouaké,369,58,5,10580,8,Normal
REF-1533,Électricité modèle 31,Électricité,Entrepôt Sud,138,46,4,9281,54,Normal
REF-1534,Électricité modèle 40,Électricité,Entrepôt Sud,75,66,18,14465,61,À surveiller
REF-1535,Fer à béton modèle 37,Fer à béton,Entrepôt Sud,132,94,16,11107,68,À surveiller
REF-1536,Plomberie modèle 13,Plomberie,Entrepôt Sud,203,94,16,9734,28,Normal
REF-1537,Fer à béton modèle 1,Fer à béton,Dépôt Bouaké,110,98,9,16366,57,À surveiller
REF-1538,Peinture modèle 22,Peinture,Dépôt Bouaké,197,52,21,6292,45,Normal
REF-1539,Électricité modèle 11,Électricité,Dépôt Bouaké,350,87,2,16181,57,Normal
