date_vente,region,canal_vente,famille_produit,segment_client,quantite,prix_unitaire,remise_pct,montant_ht
2024-03-16,Bouaké,Revendeur,Peinture,,28,16318,0,456904
2024-02-16,Korhogo,Revendeur,Fer à béton,Artisan,4,8558,1,33890
2024-01-09,Yamoussoukro,Revendeur,Plomberie,Artisan,5,7324,2,35888
2024-04-09,Abidjan,Revendeur,Fer à béton,,23,8408,3,253236
2024-08-28,Abidjan,Grand compte,Ciment,Particulier,10,7036,13,61213
2024-06-25,Yamoussoukro,Revendeur,Carrelage,Particulier,38,12789,3,636393
2024-01-14,Korhogo,Revendeur,Plomberie,Particulier,10,7743,2,75881
2024-08-24,Abidjan,Grand compte,Carrelage,Particulier,34,10263,15,296601
2024-01-25,Abidjan,Revendeur,Électricité,Artisan,6,7911,1,46991
2024-08-19,Korhogo,Revendeur,Fer à béton,Artisan,34,7983,5,257851
2024-01-07,Yamoussoukro,Grand compte,Carrelage,,29,11981,13,302281
2024-10-30,San-Pédro,Direct,Ciment,Artisan,23,7011,0,161253
2024-08-24,Korhogo,Revendeur,Électricité,Entreprise,39,8860,2,338629
2024-11-28,Daloa,Grand compte,Électricité,Entreprise,29,10175,10,265568
2024-10-29,Korhogo,Direct,Peinture,,3,15278,4,44001
2024-02-14,Yamoussoukro,Direct,Plomberie,Artisan,17,8306,1,139790
2024-06-03,Bouaké,Grand compte,Ciment,Entreprise,23,5548,1,170543
2024-12-19,Korhogo,Revendeur,Électricité,,38,8100,2,301644
2024-04-26,Daloa,Grand compte,Ciment,,30,6170,8,229894
2024-11-20,Yamoussoukro,Direct,Ciment,,25,7322,6,172067
2024-03-03,San-Pédro,Revendeur,Fer à béton,Particulier,4,9873,2,38702
2024-04-16,San-Pédro,Direct,Peinture,Particulier,16,15050,2,318578
2024-01-23,San-Pédro,Revendeur,Plomberie,Artisan,21,7943,3,161799
2024-06-01,Korhogo,Revendeur,Peinture,Particulier,7,12662,1,118459
2024-12-28,Korhogo,Grand compte,Carrelage,Particulier,9,10221,1,91069
2024-03-09,Korhogo,Revendeur,Fer à béton,Particulier,6,10192,1,60540
2024-02-14,Bouaké,Direct,Carrelage,Particulier,40,11087,6,416871
2024-07-26,Bouaké,Revendeur,Carrelage,Artisan,40,12216,0,488640
2024-12-15,Daloa,Direct,Peinture,,19,15973,2,297417
2024-07-17,Daloa,Revendeur,Électricité,Artisan,5,10180,4,48864
2024-12-03,San-Pédro,Revendeur,Ciment,Particulier,1,7175,4,6888
2024-12-13,Daloa,Direct,Plomberie,Artisan,22,7636,4,161272
2024-07-12,Abidjan,Grand compte,Carrelage,Entreprise,39,11716,14,392955
2024-04-05,Bouaké,Revendeur,Électricité,Artisan,28,8385,3,307444
2024-04-06,Bouaké,Grand compte,Peinture,Particulier,33,16271,0,724873
2024-12-14,Yamoussoukro,Direct,Peinture,Entreprise,9,15699,2,138465
2024-04-19,Bouaké,Grand compte,Peinture,,29,15448,5,574550
2024-06-18,Abidjan,Revendeur,Fer à béton,Entreprise,5,7820,5,50146
2024-06-12,Korhogo,Revendeur,Plomberie,,14,6534,6,116083
2024-05-11,Bouaké,Direct,Peinture,Artisan,20,14726,5,377722
2024-02-11,Bouaké,Grand compte,Fer à béton,Artisan,38,8160,0,310080
2024-03-14,San-Pédro,Grand compte,Carrelage,Particulier,40,10227,5,388626
2024-02-08,Bouaké,Direct,Carrelage,Artisan,40,10622,3,412134
2024-07-04,Korhogo,Direct,Carrelage,,4,10200,4,39168
2024-09-04,Korhogo,Grand compte,Plomberie,Artisan,3,8334,3,24252
2024-05-23,Yamoussoukro,Revendeur,Plomberie,Particulier,11,7505,1,110335
2024-10-01,San-Pédro,Direct,Peinture,Entreprise,20,15715,3,304871
2024-10-24,San-Pédro,Grand compte,Peinture,Entreprise,9,15591,10,126287
2024-10-26,San-Pédro,Direct,Fer à béton,Artisan,6,8928,6,50354
2024-01-17,Bouaké,Direct,Carrelage,,12,11041,4,127192
2024-02-02,Korhogo,Grand compte,Électricité,Artisan,21,9626,0,202146
2024-11-08,Abidjan,Revendeur,Fer à béton,Particulier,34,8887,3,293093
2024-02-19,Abidjan,Revendeur,Ciment,Entreprise,1,6267,2,6142
2024-05-22,Abidjan,Revendeur,Plomberie,,16,7155,0,154548
2024-02-09,Korhogo,Grand compte,Fer à béton,Artisan,4,9600,8,35328
2024-11-18,Korhogo,Grand compte,Carrelage,Particulier,12,11167,3,129984
2024-12-24,Yamoussoukro,Revendeur,Fer à béton,,11,9917,6,102542
2024-11-27,Daloa,Direct,Carrelage,Entreprise,40,11603,5,440914
2024-11-19,Abidjan,Direct,Électricité,Particulier,34,7906,3,260740
2024-05-06,Yamoussoukro,Grand compte,Peinture,Particulier,21,14803,10,377699
2024-01-18,Bouaké,Revendeur,Peinture,Particulier,5,15799,6,74255
2024-06-02,San-Pédro,Direct,Ciment,Artisan,35,6914,1,323420
2024-08-24,Yamoussoukro,Grand compte,Ciment,Particulier,12,6577,6,74189
2024-10-29,Yamoussoukro,Direct,Plomberie,Particulier,39,6927,2,264750
2024-10-23,Daloa,Direct,Ciment,Particulier,33,7346,1,239994
2024-05-23,San-Pédro,Direct,Ciment,,39,6619,4,334551
2024-05-03,San-Pédro,Revendeur,Plomberie,Artisan,32,7994,1,341887
2024-11-18,Abidjan,Direct,Ciment,Entreprise,6,6890,5,39273
2024-01-11,Abidjan,Revendeur,Carrelage,Entreprise,10,10739,2,105242
2024-04-18,Korhogo,Grand compte,Peinture,Particulier,5,15315,14,88904
2024-09-29,Korhogo,Revendeur,Peinture,Entreprise,27,13372,2,353823
2024-02-24,San-Pédro,Direct,Ciment,Entreprise,24,6234,5,142135
2024-07-07,Yamoussoukro,Revendeur,Ciment,,24,6597,1,156745
2024-02-11,Abidjan,Grand compte,Peinture,Artisan,22,12585,4,265795
2024-11-02,Yamoussoukro,Revendeur,Fer à béton,Artisan,32,10499,1,332608
2024-12-27,San-Pédro,Revendeur,Carrelage,Entreprise,6,10661,6,60128
2024-11-15,Yamoussoukro,Direct,Peinture,,16,13764,1,218022
2024-08-14,Korhogo,Grand compte,Fer à béton,Particulier,8,8171,14,56216
2024-10-27,Korhogo,Revendeur,Électricité,Artisan,4,9209,6,34626
2024-06-22,Daloa,Revendeur,Peinture,,27,14347,1,517719
2024-01-24,Daloa,Direct,Plomberie,Entreprise,25,6451,4,154824
2024-02-17,Bouaké,Direct,Fer à béton,Artisan,2,10544,5,20034
2024-05-20,Abidjan,Grand compte,Carrelage,,18,11928,1,286952
2024-04-03,Bouaké,Direct,Fer à béton,Entreprise,17,8744,1,198668
2024-05-17,Abidjan,Direct,Plomberie,,15,7164,1,143620
2024-07-16,Yamoussoukro,Direct,Fer à béton,Entreprise,29,7945,6,216581
2024-12-03,San-Pédro,Grand compte,Ciment,Entreprise,8,5578,8,41054
2024-11-28,Bouaké,Direct,Carrelage,Artisan,39,11061,5,409810
2024-05-13,Bouaké,Revendeur,Fer à béton,Artisan,13,10468,3,178202
2024-03-05,Abidjan,Direct,Plomberie,Entreprise,15,6400,2,94080
2024-12-20,Abidjan,Grand compte,Électricité,Artisan,3,8206,14,21171
2024-05-02,Yamoussoukro,Direct,Peinture,,10,16562,1,221351
2024-08-26,Abidjan,Revendeur,Électricité,,34,9298,2,309809
2024-02-02,Bouaké,Direct,Peinture,Entreprise,26,12645,2,322195
2024-12-29,Korhogo,Grand compte,Carrelage,Artisan,31,10761,14,286888
2024-10-24,Daloa,Revendeur,Plomberie,Particulier,3,6389,2,18784
2024-03-22,Daloa,Direct,Plomberie,,26,7240,1,186358
2024-04-20,Yamoussoukro,Grand compte,Peinture,Particulier,20,14895,3,390100
2024-10-03,Bouaké,Grand compte,Électricité,,24,8664,13,180904
2024-08-21,Korhogo,Direct,Plomberie,Entreprise,1,6987,1,6917
2024-05-16,Korhogo,Revendeur,Fer à béton,Artisan,38,9050,3,450337
2024-10-18,Abidjan,Revendeur,Peinture,Particulier,16,15608,3,242236
2024-02-18,Korhogo,Direct,Plomberie,Entreprise,24,7775,1,184734
2024-05-06,Bouaké,Direct,Plomberie,Artisan,10,6659,1,88998
2024-11-20,Abidjan,Grand compte,Plomberie,Particulier,35,7289,14,219399
2024-04-22,Korhogo,Revendeur,Plomberie,Entreprise,7,7555,0,71395
2024-05-16,San-Pédro,Direct,Ciment,Artisan,37,7008,5,332547
2024-04-28,San-Pédro,Grand compte,Fer à béton,,5,9593,8,59573
2024-09-25,Yamoussoukro,Revendeur,Carrelage,Artisan,27,10513,0,283851
2024-07-10,San-Pédro,Direct,Ciment,Particulier,29,5999,0,173971
2024-10-02,Daloa,Direct,Plomberie,,18,7612,2,134276
2024-08-01,San-Pédro,Grand compte,Électricité,Entreprise,13,9562,5,118091
2024-10-08,Bouaké,Direct,Peinture,,21,12855,4,259157
2024-06-28,Abidjan,Direct,Carrelage,Particulier,14,13109,2,242805
2024-06-01,San-Pédro,Revendeur,Peinture,Artisan,4,15607,3,81749
2024-08-23,Abidjan,Grand compte,Plomberie,Entreprise,10,6706,8,61695
2024-07-18,Daloa,Grand compte,Ciment,Artisan,21,7257,14,131061
2024-08-19,Korhogo,Revendeur,Ciment,Entreprise,34,6475,5,209143
2024-05-20,Daloa,Direct,Électricité,,32,7844,4,325306
2024-09-20,Yamoussoukro,Direct,Plomberie,Artisan,15,6809,4,98050
2024-11-16,Yamoussoukro,Direct,Carrelage,Entreprise,38,13023,6,465182
2024-01-07,Daloa,Grand compte,Peinture,Artisan,20,15870,11,282486
2024-03-01,Bouaké,Direct,Ciment,Artisan,25,7119,0,177975
2024-12-04,Korhogo,Direct,Plomberie,Entreprise,30,6650,3,193515
2024-08-26,Yamoussoukro,Grand compte,Peinture,,10,13443,8,123676
2024-08-28,San-Pédro,Direct,Carrelage,Entreprise,14,12365,1,171379
2024-06-04,Yamoussoukro,Revendeur,Carrelage,Particulier,15,11821,5,227406
2024-06-26,San-Pédro,Revendeur,Ciment,Entreprise,27,5925,5,205168
2024-11-20,Yamoussoukro,Direct,Fer à béton,,3,9576,3,27866
2024-01-04,Daloa,Revendeur,Fer à béton,Particulier,38,10576,4,385812
2024-11-27,Korhogo,Grand compte,Électricité,,35,8059,3,273603
2024-02-01,Bouaké,Grand compte,Peinture,Particulier,28,15352,4,412662
2024-06-12,Yamoussoukro,Grand compte,Carrelage,Particulier,32,10080,10,391910
2024-08-08,Abidjan,Revendeur,Ciment,Particulier,1,6951,5,6603
2024-04-04,San-Pédro,Grand compte,Électricité,Artisan,4,10023,5,51418
2024-09-07,Daloa,Revendeur,Plomberie,Particulier,5,7078,3,34328
2024-02-26,Korhogo,Grand compte,Ciment,,10,6029,14,51849
2024-04-27,Abidjan,Revendeur,Ciment,Particulier,1,6210,4,8048
2024-08-24,Yamoussoukro,Revendeur,Peinture,Particulier,2,14979,5,28460
2024-04-14,Korhogo,Revendeur,Fer à béton,Artisan,15,8852,5,170290
2024-01-27,Abidjan,Direct,Plomberie,Artisan,35,7183,3,243863
2024-10-28,San-Pédro,Revendeur,Fer à béton,Particulier,20,8142,2,159583
2024-09-27,Abidjan,Revendeur,Plomberie,Entreprise,35,7248,1,251143
2024-04-06,San-Pédro,Revendeur,Fer à béton,Particulier,28,8975,2,332470
2024-11-01,Abidjan,Revendeur,Carrelage,Particulier,13,10034,0,130442
2024-06-25,Abidjan,Revendeur,Carrelage,Artisan,34,11834,4,521453
2024-12-22,Yamoussoukro,Revendeur,Plomberie,Entreprise,35,7693,5,255792
2024-12-16,Abidjan,Grand compte,Ciment,Artisan,34,6862,1,230975
2024-09-04,Korhogo,Direct,Électricité,Artisan,28,7883,2,216310
2024-04-13,Yamoussoukro,Revendeur,Fer à béton,Particulier,26,9181,1,319031
2024-04-23,Yamoussoukro,Grand compte,Fer à béton,Entreprise,30,10309,10,375763
2024-01-20,Yamoussoukro,Grand compte,Ciment,Particulier,34,6384,1,214885
2024-03-08,Bouaké,Direct,Carrelage,Artisan,7,12175,4,81816
2024-04-08,Korhogo,Direct,Peinture,Entreprise,34,14289,1,649306
2024-12-24,Abidjan,Direct,Plomberie,Artisan,29,6359,6,173346
2024-05-25,Korhogo,Revendeur,Ciment,Particulier,34,7267,4,320213
2024-04-14,Abidjan,Direct,Peinture,Entreprise,33,14959,1,659759
2024-10-24,Daloa,Revendeur,Électricité,Particulier,1,9889,5,9395
2024-10-13,Bouaké,Revendeur,Ciment,,21,6026,0,126546
2024-06-01,San-Pédro,Direct,Ciment,,36,6220,5,287177
2024-02-13,Korhogo,Grand compte,Plomberie,,20,8465,1,167607
2024-05-09,Abidjan,Grand compte,Électricité,Particulier,29,10224,11,356240
2024-07-15,Daloa,Grand compte,Fer à béton,Particulier,36,8234,6,278639
2024-06-25,Daloa,Direct,Fer à béton,Particulier,25,10408,0,351270
2024-02-21,Daloa,Revendeur,Ciment,Particulier,27,5710,4,148003
2024-10-10,San-Pédro,Direct,Électricité,Particulier,3,8396,4,24180
2024-06-16,Abidjan,Revendeur,Ciment,Particulier,33,6288,6,263323
2024-09-14,Yamoussoukro,Direct,Fer à béton,,23,10524,2,237211
2024-06-24,San-Pédro,Direct,Plomberie,,33,7339,0,326952
2024-03-20,Bouaké,Revendeur,Ciment,Particulier,7,6551,2,44940
2024-03-11,Korhogo,Revendeur,Fer à béton,Entreprise,16,9575,1,151668
2024-02-28,San-Pédro,Grand compte,Carrelage,Particulier,3,12104,11,32318
2024-05-10,San-Pédro,Grand compte,Ciment,Entreprise,31,6431,4,258372
2024-01-22,Abidjan,Grand compte,Peinture,Artisan,38,16298,14,532619
2024-01-12,Bouaké,Grand compte,Ciment,,21,6779,0,142359
2024-01-11,Bouaké,Revendeur,Fer à béton,Particulier,8,9778,5,74313
2024-09-18,San-Pédro,Revendeur,Peinture,Particulier,39,13690,4,512554
2024-10-07,Abidjan,Revendeur,Carrelage,Entreprise,20,12987,1,257143
2024-08-01,San-Pédro,Grand compte,Ciment,Artisan,7,6102,7,39724
2024-08-08,Yamoussoukro,Grand compte,Plomberie,Particulier,32,7695,2,241315
2024-09-06,Daloa,Revendeur,Fer à béton,Artisan,20,8705,5,165395
2024-05-01,Yamoussoukro,Grand compte,Électricité,Entreprise,39,9982,12,462486
2024-09-12,Daloa,Direct,Fer à béton,Entreprise,34,8196,3,270304
2024-07-12,Yamoussoukro,Direct,Carrelage,Artisan,23,11776,6,254597
2024-07-25,San-Pédro,Grand compte,Plomberie,Artisan,29,8420,15,207553
2024-06-16,San-Pédro,Direct,Fer à béton,Entreprise,1,8116,1,10847
2024-12-26,Bouaké,Grand compte,Peinture,Artisan,8,15232,10,109670
2024-05-08,Yamoussoukro,Direct,Peinture,Particulier,7,14932,3,136874
2024-07-15,Daloa,Grand compte,Peinture,,37,13812,5,485492
2024-09-20,San-Pédro,Grand compte,Peinture,,38,16025,5,578503
2024-04-12,Yamoussoukro,Direct,Peinture,Particulier,38,14503,5,706804
2024-09-23,Abidjan,Direct,Ciment,Entreprise,3,5756,6,16232
2024-06-04,Bouaké,Revendeur,Électricité,,34,9611,1,436733
2024-08-16,San-Pédro,Revendeur,Carrelage,Particulier,34,11414,0,388076
2024-11-22,Abidjan,Revendeur,Ciment,Particulier,36,6012,3,209939
2024-06-07,Bouaké,Direct,Carrelage,Particulier,11,11110,1,163334
2024-06-24,Yamoussoukro,Direct,Électricité,Entreprise,9,9699,3,114308
2024-07-05,Daloa,Revendeur,Fer à béton,Artisan,35,8573,0,300055
2024-08-17,Bouaké,Revendeur,Fer à béton,Entreprise,12,8845,0,106140
2024-03-17,Daloa,Direct,Peinture,,3,12331,4,35513
2024-11-14,San-Pédro,Revendeur,Ciment,Particulier,25,6507,6,152915
2024-03-29,Bouaké,Revendeur,Fer à béton,Artisan,19,10451,3,192612
2024-09-06,San-Pédro,Grand compte,Plomberie,Artisan,10,7442,10,66978
2024-10-15,Abidjan,Revendeur,Plomberie,Particulier,35,6633,4,222869
2024-03-29,San-Pédro,Grand compte,Peinture,Particulier,4,13851,6,52080
2024-11-12,Yamoussoukro,Grand compte,Plomberie,Particulier,11,7579,1,82535
2024-01-08,Daloa,Revendeur,Fer à béton,Artisan,20,9259,3,179625
2024-03-04,Daloa,Direct,Peinture,,1,16664,1,16497
2024-07-06,Bouaké,Grand compte,Fer à béton,,18,8129,6,137543
2024-07-24,Daloa,Direct,Carrelage,,29,12309,2,349822
2024-11-23,San-Pédro,Grand compte,Fer à béton,Entreprise,12,8963,11,95725
2024-03-03,Korhogo,Revendeur,Fer à béton,,21,9312,4,187730
2024-04-08,Korhogo,Revendeur,Plomberie,,39,6898,4,348653
2024-11-14,Daloa,Revendeur,Peinture,Entreprise,36,16322,2,575840
2024-04-17,Korhogo,Revendeur,Peinture,,13,13745,3,233988
2024-12-12,Yamoussoukro,Revendeur,Peinture,Entreprise,20,14929,2,292608
2024-07-02,Yamoussoukro,Revendeur,Carrelage,Entreprise,37,10338,1,378681
2024-10-02,Yamoussoukro,Revendeur,Fer à béton,,6,9358,4,53902
2024-10-07,Daloa,Direct,Carrelage,Artisan,25,11095,3,269054
2024-08-23,Korhogo,Grand compte,Peinture,Particulier,30,16627,0,498810
2024-08-31,San-Pédro,Grand compte,Ciment,Entreprise,9,6792,3,59294
2024-07-27,San-Pédro,Grand compte,Électricité,Artisan,12,9833,2,115636
2024-11-16,Bouaké,Revendeur,Ciment,Artisan,23,7350,0,169050
2024-07-21,Bouaké,Direct,Carrelage,Artisan,40,12965,6,487484
2024-03-13,Abidjan,Direct,Carrelage,Entreprise,8,10820,0,86560
2024-02-17,Korhogo,Direct,Peinture,Particulier,2,16277,1,32228
2024-07-21,Bouaké,Revendeur,Plomberie,Artisan,14,8226,5,109406
2024-11-15,San-Pédro,Direct,Ciment,,34,7073,3,233268
2024-06-30,Daloa,Grand compte,Peinture,Artisan,2,14204,5,36433
2024-05-19,Abidjan,Grand compte,Fer à béton,Artisan,13,9188,8,148349
2024-02-18,Abidjan,Revendeur,Carrelage,Particulier,4,11803,5,44851
2024-06-15,Korhogo,Direct,Électricité,,22,7811,3,225027
2024-12-26,Korhogo,Grand compte,Électricité,Artisan,3,7792,10,21038
2024-07-30,Abidjan,Direct,Plomberie,,10,6648,0,66480
2024-09-06,Bouaké,Grand compte,Fer à béton,,37,10098,4,358681
2024-12-25,Korhogo,Revendeur,Peinture,Entreprise,23,13883,3,309730
2024-04-26,San-Pédro,Direct,Peinture,Artisan,39,13250,3,676684
2024-03-09,Korhogo,Direct,Électricité,Entreprise,38,8218,0,312284
2024-09-27,Daloa,Direct,Ciment,Entreprise,24,6252,6,141045
2024-06-03,Bouaké,Revendeur,Peinture,Entreprise,23,14555,4,433855
2024-04-17,Korhogo,Grand compte,Plomberie,,35,8049,9,346087
2024-12-26,Bouaké,Direct,Électricité,Particulier,2,10203,5,19386
2024-12-20,Yamoussoukro,Direct,Ciment,Particulier,23,7311,2,164790
2024-08-12,Bouaké,Revendeur,Carrelage,,24,13429,6,302958
2024-01-06,Abidjan,Direct,Ciment,Entreprise,37,7066,4,250984
2024-04-14,San-Pédro,Direct,Peinture,Artisan,12,12546,4,195115
2024-06-03,Korhogo,Direct,Peinture,Particulier,26,16653,6,549449
2024-09-10,San-Pédro,Revendeur,Ciment,Entreprise,19,6394,4,116627
2024-09-14,Bouaké,Grand compte,Carrelage,Particulier,6,10035,2,59006
2024-03-16,Abidjan,Direct,Électricité,Artisan,20,10114,4,194189
2024-12-14,Yamoussoukro,Revendeur,Électricité,,39,9576,2,365995
2024-03-01,San-Pédro,Grand compte,Fer à béton,Artisan,12,8392,2,98690
2024-02-22,Daloa,Direct,Ciment,Artisan,39,6541,4,244895
2024-12-01,Korhogo,Grand compte,Peinture,Particulier,25,15929,9,362385
2024-03-18,Korhogo,Revendeur,Fer à béton,Artisan,40,9925,2,389060
2024-12-26,San-Pédro,Revendeur,Ciment,Particulier,11,5700,6,58938
2024-07-02,San-Pédro,Grand compte,Peinture,,4,15650,12,55088
2024-05-03,San-Pédro,Revendeur,Ciment,Artisan,33,7035,2,307141
2024-12-23,Bouaké,Revendeur,Carrelage,Entreprise,13,12879,4,160730
2024-06-29,Korhogo,Revendeur,Fer à béton,Entreprise,9,10067,4,117421
2024-07-15,San-Pédro,Grand compte,Électricité,Particulier,16,7719,5,117329
2024-02-10,Yamoussoukro,Direct,Peinture,Entreprise,27,13983,4,362439
2024-01-28,Abidjan,Grand compte,Carrelage,,10,12695,15,107908
2024-01-29,Abidjan,Direct,Fer à béton,,12,8833,2,103876
2024-12-02,Abidjan,Revendeur,Plomberie,Entreprise,4,8490,5,32262
2024-09-07,Daloa,Grand compte,Plomberie,,32,7302,7,217308
2024-03-29,San-Pédro,Direct,Électricité,Artisan,19,8295,3,152877
2024-06-20,Abidjan,Revendeur,Électricité,Entreprise,19,8285,4,204010
2024-05-15,Korhogo,Direct,Ciment,Entreprise,7,6451,1,60352
2024-02-11,Korhogo,Revendeur,Électricité,Particulier,23,8633,2,194588
2024-04-15,Bouaké,Grand compte,Fer à béton,Artisan,10,8309,13,97589
2024-09-06,Abidjan,Revendeur,Carrelage,Entreprise,33,12958,4,410509
2024-04-29,San-Pédro,Revendeur,Peinture,Artisan,11,13758,2,200220
2024-04-13,San-Pédro,Direct,Fer à béton,Particulier,33,8143,2,355515
2024-11-21,San-Pédro,Grand compte,Électricité,Particulier,8,8245,12,58045
2024-01-20,Daloa,Revendeur,Électricité,Entreprise,39,7912,0,308568
2024-12-24,Korhogo,Revendeur,Électricité,,30,7615,2,223881
2024-02-18,Bouaké,Grand compte,Ciment,Artisan,30,6785,15,173018
2024-06-06,Yamoussoukro,Direct,Peinture,Entreprise,17,16177,1,367550
2024-05-30,Yamoussoukro,Grand compte,Plomberie,Particulier,37,7963,7,369909
2024-01-05,Yamoussoukro,Grand compte,Électricité,Particulier,5,10125,2,49613
2024-09-10,Bouaké,Grand compte,Plomberie,Particulier,16,6532,12,91971
2024-07-26,Daloa,Direct,Électricité,Particulier,34,7689,3,253583
2024-03-10,Korhogo,Grand compte,Peinture,Particulier,3,16562,2,48692
2024-07-13,Abidjan,Direct,Fer à béton,,37,10349,5,363767
2024-11-27,Yamoussoukro,Grand compte,Peinture,Entreprise,35,16659,9,530589
2024-06-03,Bouaké,Direct,Carrelage,,6,12594,4,97931
2024-08-23,Abidjan,Revendeur,Fer à béton,Artisan,18,7906,2,139462
2024-07-27,Korhogo,Revendeur,Ciment,,22,5969,1,130005
2024-12-02,Abidjan,Grand compte,Ciment,,37,6541,6,227496
2024-05-24,Korhogo,Direct,Électricité,,16,9781,3,204932
2024-11-29,Abidjan,Grand compte,Plomberie,,14,7379,9,94008
2024-09-13,Abidjan,Direct,Ciment,Particulier,3,7133,3,20757
2024-09-05,Yamoussoukro,Direct,Ciment,Artisan,36,6718,4,232174
2024-03-19,Abidjan,Grand compte,Électricité,,2,7681,13,13365
2024-04-12,Daloa,Grand compte,Carrelage,Particulier,12,13052,7,196641
2024-07-28,San-Pédro,Grand compte,Plomberie,Artisan,32,7876,11,224308
2024-05-28,Bouaké,Revendeur,Plomberie,,12,6981,2,110830
2024-06-18,San-Pédro,Direct,Peinture,Artisan,9,15766,0,191557
2024-12-06,Korhogo,Revendeur,Électricité,Entreprise,12,7973,5,90892
2024-04-10,Daloa,Direct,Fer à béton,Particulier,3,9487,2,37654
2024-12-20,Yamoussoukro,Direct,Peinture,,32,14909,3,462775
2024-12-14,Daloa,Revendeur,Plomberie,Particulier,17,7602,4,124065
2024-09-02,Abidjan,Grand compte,Électricité,Artisan,7,8788,7,57210
2024-05-27,Bouaké,Revendeur,Électricité,,18,7967,5,183918
2024-08-02,Yamoussoukro,Revendeur,Ciment,,27,6044,1,161556
2024-06-13,San-Pédro,Revendeur,Plomberie,Particulier,38,7262,6,350188
2024-10-13,Abidjan,Revendeur,Ciment,Particulier,33,5928,5,185843
2024-04-30,San-Pédro,Grand compte,Électricité,Particulier,14,9014,10,153328
2024-12-26,San-Pédro,Grand compte,Carrelage,Particulier,19,10871,4,198287
2024-09-15,Abidjan,Grand compte,Peinture,Artisan,39,12547,2,479546
2024-08-04,Yamoussoukro,Revendeur,Carrelage,Particulier,24,13187,5,300664
2024-09-17,Abidjan,Revendeur,Ciment,,33,6492,2,209951
2024-04-22,Abidjan,Revendeur,Carrelage,,36,12508,1,601810
2024-01-28,San-Pédro,Grand compte,Ciment,Artisan,24,5551,3,129227
2024-12-26,Daloa,Revendeur,Carrelage,Particulier,4,10051,5,38194
2024-04-18,Daloa,Grand compte,Peinture,Entreprise,9,12505,2,148897
2024-06-16,Bouaké,Direct,Électricité,Artisan,6,8062,4,62690
2024-09-18,San-Pédro,Grand compte,Carrelage,,16,11488,11,163589
2024-10-19,Bouaké,Grand compte,Plomberie,Entreprise,12,8235,12,86962
2024-02-05,Abidjan,Grand compte,Ciment,Artisan,24,6445,12,136118
2024-05-02,Abidjan,Revendeur,Électricité,Entreprise,19,9308,1,236363
2024-10-31,Bouaké,Grand compte,Ciment,,14,6169,14,74275
2024-04-11,Yamoussoukro,Grand compte,Plomberie,Artisan,40,7882,2,417115
2024-12-28,Bouaké,Revendeur,Carrelage,Artisan,34,12677,5,409467
2024-08-16,San-Pédro,Revendeur,Plomberie,Artisan,32,7600,5,231040
2024-10-31,Yamoussoukro,Grand compte,Fer à béton,,6,9918,4,57128
2024-08-30,Bouaké,Revendeur,Carrelage,,16,10876,3,168796
2024-09-22,Korhogo,Revendeur,Plomberie,Particulier,27,7186,5,184321
2024-07-06,Yamoussoukro,Direct,Électricité,,2,9187,0,18374
2024-01-14,Korhogo,Grand compte,Ciment,Artisan,11,6565,5,68604
2024-11-02,Yamoussoukro,Direct,Plomberie,,9,7914,3,69089
2024-10-21,Yamoussoukro,Direct,Carrelage,Artisan,33,12360,2,399722
2024-01-11,Abidjan,Direct,Carrelage,Artisan,32,13090,5,397936
2024-10-29,Daloa,Grand compte,Ciment,,24,5753,9,125646
2024-05-23,Bouaké,Grand compte,Ciment,Artisan,18,7324,1,176193
2024-10-30,San-Pédro,Grand compte,Plomberie,,40,8119,13,282541
2024-12-17,Abidjan,Revendeur,Électricité,Entreprise,30,7785,2,228879
2024-07-23,Yamoussoukro,Revendeur,Électricité,Entreprise,38,9475,3,349249
2024-12-28,Yamoussoukro,Revendeur,Ciment,Entreprise,38,6093,1,229219
2024-03-26,Bouaké,Grand compte,Peinture,Entreprise,26,16372,4,408645
2024-02-23,Abidjan,Grand compte,Fer à béton,,21,8684,8,167775
2024-03-03,Yamoussoukro,Revendeur,Ciment,Particulier,2,5635,0,11270
2024-11-23,Abidjan,Revendeur,Fer à béton,,23,10304,6,222772
2024-10-18,Abidjan,Direct,Électricité,Artisan,7,8863,2,60800
2024-03-16,Korhogo,Grand compte,Carrelage,,30,12243,12,323215
2024-07-18,Bouaké,Grand compte,Électricité,Artisan,28,8105,14,195168
2024-03-23,Daloa,Grand compte,Ciment,Entreprise,2,7413,7,13788
2024-02-07,Korhogo,Direct,Électricité,Artisan,7,7912,4,53169
2024-07-31,Korhogo,Grand compte,Peinture,,40,16007,15,544238
2024-04-07,Bouaké,Direct,Carrelage,,18,11927,5,275335
2024-05-14,Abidjan,Grand compte,Ciment,Artisan,7,6906,11,58083
2024-06-13,San-Pédro,Revendeur,Ciment,,7,5723,2,53001
2024-12-02,Daloa,Revendeur,Électricité,Entreprise,24,9656,2,227109
2024-05-10,Daloa,Grand compte,Fer à béton,,24,8178,1,262318
2024-03-06,San-Pédro,Grand compte,Fer à béton,Entreprise,5,10422,11,46378
2024-03-26,Yamoussoukro,Revendeur,Carrelage,,29,13025,3,366393
2024-02-17,Yamoussoukro,Direct,Électricité,Artisan,1,9082,4,8719
2024-10-16,Bouaké,Grand compte,Peinture,Artisan,30,15942,7,444782
